San Diego 1
CLEVELAND HIGH SCHOOL|Los Angeles|Reseda||GROVER CLEVELAND CHARTER HIGH|Los Angeles|Los Angeles Unified|91335
COLLEGIATE CHARTER HIGH SCHOOL|Los Angeles|Los Angeles||COLLEGIATE CHARTER HIGH SCHOOL OF LOS ANGELES|Los Angeles|Collegiate Charter High School of Los An|90023
CRENSHAW HIGH SCHOOL|Los Angeles|Los Angeles||CRENSHAW SCIENCE, TECHNOLOGY, ENGINEERING, MATH AN|Los Angeles|Los Angeles Unified|90043
DANIEL PEARL MAGNET HIGH SCHL|Los Angeles|Van Nuys||DANIEL PEARL JOURNALISM & COMMUNICATIONS MAGNET|Los Angeles|Los Angeles Unified|91406
DAV STARR JORDAN HIGH SCHOOL|Los Angeles|Long Beach||JORDAN HIGH|Los Angeles|Long Beach Unified|90805
DAVID STARR JORDAN HS|Los Angeles|Los Angeles||JORDAN HIGH|Los Angeles|Los Angeles Unified|90002
DIEGO RIVERA COMM/TECH SCHOOL|Los Angeles|Los Angeles||COMMUNICATION AND TECHNOLOGY AT DIEGO RIVERA LEARN|Los Angeles|Los Angeles Unified|90001
DISCOVERY CHARTER PREP SCHOOL|Los Angeles|Sylmar||DISCOVERY CHARTER PREPARATORY #2|Los Angeles|Discovery Charter Preparatory #2|91342
DR MAYA ANGELOU COMMUNITY HS|Los Angeles|Los Angeles||DR. MAYA ANGELOU COMMUNITY HIGH|Los Angeles|Los Angeles Unified|90011
DR RICHARD VLADOVIC HARBOR ACA|Los Angeles|Wilmington||DR. RICHARD A. VLADOVIC HARBOR TEACHER PREPARATION|Los Angeles|Los Angeles Unified|90744
EARLY COLLEGE ACADEMY|Los Angeles|Los Angeles||EARLY COLLEGE ACADEMY-LA TRADE TECH COLLEGE|Los Angeles|Los Angeles Unified|90015
EAST COLLEGE PREP|Los Angeles|Los Angeles||EDNOVATE - EAST COLLEGE PREP|Los Angeles|Ednovate - East College Prep|90031
EAST LA PERFORMING ARTS MAGNET|Los Angeles|Los Angeles||ESTEBAN TORRES EAST LA PERFORMING ARTS MAGNET|Los Angeles|Los Angeles Unified|90063
EAST LA RENAISSANCE ACADEMY|Los Angeles|Los Angeles||EAST LOS ANGELES RENAISSANCE ACADEMY AT ESTEBAN E.|Los Angeles|Los Angeles Unified|90063
EAST VALLEY HIGH SCHOOL|Los Angeles|North Hollywood||EAST VALLEY SENIOR HIGH|Los Angeles|Los Angeles Unified|91601
EDWARD R ROYBAL LEARNING CNTR|Los Angeles|Los Angeles||EDWARD R. ROYBAL LEARNING CENTER|Los Angeles|Los Angeles Unified|90026
EL CAMINO REAL CHARTER HIGH SC|Los Angeles|Woodland Hills||EL CAMINO REAL CHARTER HIGH|Los Angeles|El Camino Real Charter High|91367
ENGINEERING & TECH ACAD AT THS|Los Angeles|Los Angeles||ENGINEERING AND TECHNOLOGY ACADEMY AT ESTEBAN E. T|Los Angeles|Los Angeles Unified|90063
ENVIRONMENTAL CHARTER HS|Los Angeles|Lawndale||ENVIRONMENTAL CHARTER HIGH - LAWNDALE|Los Angeles|Environmental Charter High - Lawndale|90260
ERNEST S MCBRIDE SR HIGH SCHL|Los Angeles|Long Beach||ERNEST S. MCBRIDE, SR. HIGH|Los Angeles|Long Beach Unified|90808
ESPERANZA COLLEGE PREP|Los Angeles|Los Angeles||EDNOVATE - ESPERANZA COLLEGE PREP|Los Angeles|Ednovate - Esperanza College Prep|90022
FAIRFAX HIGH SCHOOL|Los Angeles|Los Angeles||FAIRFAX SENIOR HIGH|Los Angeles|Los Angeles Unified|90046
FELICITAS GONZALO MENDEZ HS|Los Angeles|Los Angeles||FELICITAS AND GONZALO MENDEZ HIGH|Los Angeles|Los Angeles Unified|90033
